username,repository
0-don,clippy
0PandaDEV,Qopy
0xfrankz,Kaas
a5huynh,spyglass
AbdelilahOu,Mahalli-tauri
Abdenasser,neohtop
AbianS,docker-db-manager
acarl005,toerings
adileo,squirreldisk
ahkohd,tauri-awesome-rpc
ahkohd,tauri-macos-menubar-app-example
ahkohd,tauri-macos-spotlight-example
ahkohd,tauri-nspanel
ahmedkapro,journalv
ahqsoftwares,tauri-ahq-store
AkiraBit,PicSharp
Akylas,mbview-rs
AlexProgrammerDE,SoulFireClient
alexqqqqqq777,tauri-plugin-dragout
Alfredoes234,tauri-preact-rsbuild-template
alyalin,PraccJS
amrbashir,vite-plugin-tauri
angeldollface,gluhny
angeldollface,peekaboo
aptabase,tauri-plugin-aptabase
AR10Dev,tauri-solid-ts-tailwind-vite
astrodon,astrodon
auto-wallpaper,auto-wallpaper
awkj,stockman
ayangweb,tauri-plugin-fs-pro
ayangweb,tauri-plugin-macos-permissions
ayangweb,tauri-plugin-screenshots
basharovV,musicat
bewcloud,bewcloud-desktop
BigIskander,Handwriting-keyboard-for-Linux-tesseract
billyjacoby,browsernaut
blinkospace,blinko
breadthe,sd-buddy
breadthe,seismic
Brendonovich,macrograph
BTMuli,TeyvatGuide
btpf,Alexandria
buildyourwebapp,tauri-plugin-sharesheet
c2r0b,tauri-plugin-context-menu
cablehead,stacks
CapSoftware,cap
charlesxsh,tauri-angular-boilerplate
Charlie-XIAO,tauri-plugin-desktop-underlay
Chessifier,chessifier
chezhe,aleph
ChristianPavilonis,tauri-htmx-extension
chrox,readest
ChurchTao,Lanaya
clash-verge-rev,clash-verge-rev
codad5,google-task-tauri
codeforreal1,compressO
colinlienard,gitlight
CrossCopy,tauri-plugin-clipboard
dannysmith,astro-editor
dannysmith,tauri-template
dedSyn4ps3,tauri-mobile-test
defguard,client
deid84,tauri-plugin-serialport
deid84,tauri-sveltekit-admin-template
dewy01,Zenith
dhextras,age-timer-tauri
drl990114,MarkFlowy
dubisdev,key-on-screen
dubisdev,quickgpt
dubisdev,runmath
dubisdev,trayfier
dunkbing,typeview
dwall-rs,dwall
EastSun5566,hackdesk
ecmel,tauri-plugin-view
egoist,dropcode
elibroftw,modern-desktop-app-template
enassi,enassi
endless-r0ad,sarge-launcher
exphert,TauriCS
fastrepl,hyprnote
ferreira-tb,tauri-plugin-prevent-default
FerrisMind,oxide-lab
fishfight,FishLauncher
fosslife,devtools-x
FPurchess,blank
francesco-gaglione,AppHub
franciscoBSalgueiro,en-croissant
freethinkel,tauri-nspopover-plugin
fuyoo,bs-redis-desktop-client
g07cha,pomodoro
gaeljacquin,yt-dlp-gui
Gawdl3y,Resolute
geek-fun,dockit
gethopp,hopp
GHGHGHKO,dalgona
ghost-him,ZeroLaunch-rs
Gitification-App,gitification
Gnarus-G,mynd
Gram-ax,gramax
h8moss,progressive
haideralsh,prompt-lab
harana,search
hcavarsan,kftray
henrhie,tauri-react-parcel-template
hiltontj,solars
hiql,get-unique-id-app
hiql,passwords-app
hrzlgnm,mdns-browser
HuakunShen,devclean
HuakunShen,ezup
HuakunShen,tauri-astro-template
HuakunShen,tauri-nuxt-template
HuakunShen,tauri-plugin-network
HuakunShen,tauri-plugin-system-info
HubertK05,banban
HuLaSpark,HuLa
idootop,feiyu-player
idootop,MagicMirror
ilyaly,ascapes-mixer
impierce,identity-wallet
iohzrd,identia
Ironclad,rivet
jam53,Takma
jamessizeland,tauri-chess
jellyfin,jellyfin-vue
jexpe-apps,jexpe
JMBeresford,retrom
JonasKruckenberg,tauri-plugin-graphql
JonasKruckenberg,tauri-rescript-template
JonasKruckenberg,tauri-sycamore-template
jsnli,Samira
keadex,keadex
Kesomannen,gale
KilleenCode,tauri-update-cloudflare
kimlimjustin,xplorer
kkoomen,pointless
KM8Oz,BULKUS
kr5hn4,tranzit
ku9nov,faynoSync
kunalsin9h,secops
kunkunsh,kkrpc
kuyoonjo,md-viewer
kuyoonjo,nda
kuyoonjo,tauri-plugin-mqtt
kuyoonjo,tauri-plugin-tcp
kuyoonjo,tauri-plugin-udp
kvnxiao,tauri-nextjs-template
l1xnan,duckling
lencx,ChatGPT
lesterhnu,clipboard
Levminer,authme
Levminer,cores
lifecoder1988,tauri-watch-coin
linka-app,linka
linksaas,desktop
ljreaux,meadtools-desktop
louis030195,screen-pipe
lzdyes,douyin-downloader
marc2332,tauri-deno-starter
MatsDK,TauRPC
matthias-stemmler,annimate
matthias-wright,ghorbu-wallet
maximegris,angular-tauri
mdSilo,mdSilo-app
meel-hd,japanese
meel-hd,lofi-engine
menloresearch,jan
Michael-A-Kuykendall,crabcamera
mikaelkristiansson,gitbar
mjoblin,punytunes
mmpneo,curses
MnlPhlp,tauri-plugin-blec
mohammadmansour200,basset
mrjackwills,obliqoro
MrLightful,create-tauri-react
Muhammed-Rahif,Notpad
n0vella,cardo
naaive,orange
nashaofu,shell360
nhexirc,nhex
Nicify,sensi-mouse
NicolaSpadari,nuxtor
nomandhoni-cs,blink-eye
oguzkaganeren,manjaro-starter
OneKeePass,desktop
open-goal,launcher
openscopeproject,TrguiNG
opensourcecheemsburgers,ubiquity
Orbitale,Compotes
oscartbeaumont,tauri-specta
ow-mods,ow-mod-man
padloc,padloc
ParthJadhav,verve
PasteBar,PasteBarApp
persiliao,axios-tauri-api-adapter
persiliao,brew-services-manage
philipborg,CubeShuffle
pilgrimlyieu,Focust
pot-app,pot-desktop
probablykasper,kadium
probablykasper,mr-tagger
probablykasper,remind-me-again
probablykasper,svelte-tauri-filedrop
probablykasper,tauri-svelte-template
probablykasper,time-machine-inspector
pwltr,tauthy
Rabbit-Company,CryptoBal-Desktop
raicuparta,rai-pal
rajatkulkarni95,buildlog
rajatkulkarni95,yack
Raphiiko,OyasumiVR
Recordscript,recordscript
rome-user,tauri-clojurescript-template
RoseBlume,Bishop-Tauri-Template
Roseblume,Rosary
RoundedCorners,Application
runtime-org,runtime
rustdesk,rustdesk-server
s00d,switchshuttle
s00d,tauri-plugin-serialplugin
saicem,tmus
samirdjelal,bidirectional
samirdjelal,mail-dev
SeakMengs,WindowPet
shixinhuang99,czkawka-tauri
shm11C3,HardwareVisualizer
skymen,tauri-vue-template
SlimeVR,SlimeVR-Server
smokingplaya,tauri-plugin-drpc
sollambert,rust-full-stack-with-auth-template
spacedriveapp,spacedrive
spieglt,flyingcarpet
SpikeHD,Dorion
sprout2000,tauview
stefanodevenuto,wirefish
SticksDev,FanslySync
Sushants-Git,locus
Synaptrix,ChatGPT-Desktop
syre-data,syre
taecontrol,orion
Taiizor,tauri-plugin-cache
tauri-apps,create-tauri-app
tauri-apps,plugins-workspace
tauri-apps,window-shadows
tauri-apps,window-vibrancy
TheBlindM,T-Shell
thewh1teagle,happy
thewh1teagle,lingo
thewh1teagle,mobslide
thewh1teagle,RustDuck
timfish,sentry-tauri
Tnze,ffxiv-best-craft
Tormak9970,Steam-Art-Manager
Trivernis,mediarepo
trobonox,kanri
TunnlTo,desktop-app
tw93,Pake
typed-sigterm,deno-in-tauri
tywil04,parchment
UNIkeEN,SJMCL
Uninen,tauri-vue-template
upvpn,upvpn-app
ustaxes,ustaxes
Verbcode,verbcode-release
vicanso,cyberapi
wearrrrr,9Launcher
Web3-Builders-Alliance,soda
windht,watcher
wyhaya,tauri-plugin-theme
Xav1erSue,cloak
xgetter-team,xgetter
ZaneH,metronome
ZaneH,piano-trainer
zeet2020,wallpaper-changer-tauri
zelytra,BetterFleet
zenoxs,tauri-appcenter-companion
zhanglun,lettura
zhanglun,pavo
zhbhun,rmbg
zhongweili,imagenie
zsmatrix62,echoo-app
zxh3,kianalol
